phase,request_index,query_name,server_time_ms,rows_returned,ok,error
warmup,0,q1_user_by_id,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,1,q2_all_users,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,2,q3_user_by_login,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,3,q4_sellers_rating,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,4,q5_orders_offset,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,5,q6_products_by_seller,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,6,q7_products_join_sellers,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,7,q8_order_items_join_products,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,8,q9_orders_items_products_by_user,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,9,q10_top_sellers_qty,nan,0,False,Expecting value: line 1 column 2 (char 1)
warmup,10,q11_top_categories,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q1_user_by_id,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q1_user_by_id,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q1_user_by_id,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q2_all_users,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q2_all_users,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q2_all_users,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q3_user_by_login,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q3_user_by_login,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q3_user_by_login,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q4_sellers_rating,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q4_sellers_rating,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q4_sellers_rating,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q5_orders_offset,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q5_orders_offset,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q5_orders_offset,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q6_products_by_seller,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q6_products_by_seller,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q6_products_by_seller,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q7_products_join_sellers,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q7_products_join_sellers,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q7_products_join_sellers,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q8_order_items_join_products,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q8_order_items_join_products,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q8_order_items_join_products,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q9_orders_items_products_by_user,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q9_orders_items_products_by_user,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q9_orders_items_products_by_user,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q10_top_sellers_qty,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q10_top_sellers_qty,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q10_top_sellers_qty,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,0,q11_top_categories,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,1,q11_top_categories,nan,0,False,Expecting value: line 1 column 2 (char 1)
benchmark,2,q11_top_categories,nan,0,False,Expecting value: line 1 column 2 (char 1)
