db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
postgres,load_data,__load_data__,3.456496800063178,0,0,0,0.0,nan,nan,nan,nan,0,36.55,63.87,1.395,1.85,2147483648.0,130.0,0.0,0.0,0.0
postgres,warmup,q10_top_sellers_qty,4.069898699992336,18,18,0,4.42271450147737,296.52770003303885,983.8680550397812,2330.6989709835,20.0,360,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q11_top_categories,4.069898699992336,18,18,0,4.42271450147737,46.45664995769039,197.47818001778796,201.9370759301819,10.0,180,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q1_user_by_id,4.069898699992336,19,19,0,4.668420862670557,14.165299944579601,380.3815000224813,1923.430779976771,1.0,19,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q2_all_users,4.069898699992336,19,19,0,4.668420862670557,275.0710000982508,956.4327000174621,2639.991420013831,10000.0,190000,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q3_user_by_login,4.069898699992336,18,18,0,4.42271450147737,9.92295000469312,390.67003997624533,1917.2684079606513,1.0,18,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q4_sellers_rating,4.069898699992336,18,18,0,4.42271450147737,13.391049986239523,412.344310048499,1837.338302021377,100.0,1800,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q5_orders_offset,4.069898699992336,18,18,0,4.42271450147737,18.21725000627339,413.8404499797585,1911.6472100105566,50.0,900,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q6_products_by_seller,4.069898699992336,18,18,0,4.42271450147737,24.350449966732413,379.91046007955174,1668.3108119969224,1.1666666666666667,21,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q7_products_join_sellers,4.069898699992336,18,18,0,4.42271450147737,29.249650018755347,422.0351399562756,1919.7090279252698,1.1666666666666667,21,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q8_order_items_join_products,4.069898699992336,18,18,0,4.42271450147737,22.042050026357174,399.3314150662597,1832.8218029800303,2.7222222222222223,49,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,warmup,q9_orders_items_products_by_user,4.069898699992336,18,18,0,4.42271450147737,21.743499964941293,411.0711899818823,1835.2581579843502,2.2777777777777777,41,102.76,103.87,3.4050000000000002,4.25,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q1_user_by_id,2.4183415999868885,1000,1000,0,413.5065120681965,2.696650044526905,31.40803498681634,95.23790306992815,1.0,1000,103.9,103.9,3.11,3.11,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q2_all_users,43.493574899970554,1000,1000,0,22.991901730309987,409.277250058949,544.1243949288037,793.6121870775233,10000.0,10000000,52.730526315789476,100.45,5.0,5.07,2147483648.0,0.0,0.0,0.0,7611300.0
postgres,benchmark,q3_user_by_login,1.991956299985759,1000,1000,0,502.01904530091815,2.502350020222366,28.765834943624213,88.17224897792873,1.0,1000,77.29,77.29,3.21,3.21,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q4_sellers_rating,2.0632173999911174,1000,1000,0,484.67989849460616,3.8099500234238803,36.882444983348215,99.39362802192696,100.0,100000,100.99,100.99,3.2,3.2,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q5_orders_offset,4.84974900004454,1000,1000,0,206.1962381951759,10.429849964566529,89.93025005911477,193.66953494841016,50.0,50000,96.195,106.86,3.23,3.28,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q6_products_by_seller,2.8261306999484077,1000,1000,0,353.84067694330463,5.799399979878217,61.841074988478795,108.81845391238564,1.026,1026,108.03,108.03,3.19,3.19,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q7_products_join_sellers,2.7466564000351354,1000,1000,0,364.0790307761859,3.2008999842219055,45.997900003567246,111.97044005616578,1.026,1026,98.21,98.21,2.95,2.95,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q8_order_items_join_products,4.783304200042039,1000,1000,0,209.06050674995984,4.869250056799501,62.576749996514984,114.51891803414648,3.029,3029,51.865,103.69,3.125,3.24,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q9_orders_items_products_by_user,4.038422300014645,1000,1000,0,247.62145355535839,4.933399963192642,57.72826992906629,104.52941107911363,3.035,3035,50.705,98.97,3.175,3.3,2147483648.0,0.0,0.0,0.0,0.0
postgres,benchmark,q10_top_sellers_qty,44.67379709996749,1000,1000,0,22.38448631895514,398.90839997678995,887.7173400309401,1128.4766919829417,20.0,20000,96.0142105263158,106.65,3.7431578947368425,3.85,2147483648.0,0.0,0.0,0.0,260000.0
postgres,benchmark,q11_top_categories,9.22668900003191,1000,1000,0,108.38124055081313,15.697149967309088,187.9116450494621,300.83121999514566,10.0,10000,75.78999999999999,101.63,3.0975,3.22,2147483648.0,0.0,0.0,0.0,0.0
