db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
sqlite,load_data,__load_data__,3.470270400051959,0,0,0,0.0,nan,nan,nan,nan,0,15.06,25.3,0.09,0.15,2147483648.0,0.0,0.0,0.0,360000.0
sqlite,warmup,q10_top_sellers_qty,3.922204199945554,18,18,0,4.58925621471974,392.01075001619756,958.2591949962072,1338.5432789847246,20.0,360,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q11_top_categories,3.922204199945554,18,18,0,4.58925621471974,67.77849997160956,104.66013496043159,108.5435470030643,10.0,180,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q1_user_by_id,3.922204199945554,19,19,0,4.844214893315281,29.312800033949316,186.14609997020847,818.289539946709,1.0,19,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q2_all_users,3.922204199945554,19,19,0,4.844214893315281,683.3165999269113,1118.4548200108102,1405.948803946376,10000.0,190000,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q3_user_by_login,3.922204199945554,18,18,0,4.58925621471974,21.964399958960712,299.9473150295652,1228.9402630447853,1.0,18,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q4_sellers_rating,3.922204199945554,18,18,0,4.58925621471974,32.76755003025755,246.64734001853384,812.1758680336629,100.0,1800,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q5_orders_offset,3.922204199945554,18,18,0,4.58925621471974,26.007150067016482,236.24605994555026,917.1942519617716,50.0,900,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q6_products_by_seller,3.922204199945554,18,18,0,4.58925621471974,31.823350058402866,252.75713499286053,1008.320707018718,1.1666666666666667,21,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q7_products_join_sellers,3.922204199945554,18,18,0,4.58925621471974,21.11655002227053,211.6186849889334,758.1590969697559,1.1666666666666667,21,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q8_order_items_join_products,3.922204199945554,18,18,0,4.58925621471974,13.620900048408657,274.6323199942692,1044.0379039756936,2.7222222222222223,49,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,warmup,q9_orders_items_products_by_user,3.922204199945554,18,18,0,4.58925621471974,25.885450071655214,294.2472099442948,1173.6064819456058,2.2777777777777777,41,102.235,106.59,0.98,1.13,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q10_top_sellers_qty,111.24628929991741,1000,1000,0,8.989063871640907,247.79794999631122,702.6471449178644,971.5755320515017,20.0,20000,100.65666666666668,106.17,1.2179166666666668,1.24,2147483648.0,0.0,0.0,0.0,0.0
sqlite,benchmark,q11_top_categories,111.24628929991741,1000,1000,0,8.989063871640907,24.25735001452267,114.17642005253582,186.5382980077993,10.0,10000,100.65666666666668,106.17,1.2179166666666668,1.24,2147483648.0,0.0,0.0,0.0,0.0
