phase,metric_mode,request_index,query_name,sql,client_time_ms,server_time_ms,redis_exec_ms,rows_returned,ok,error
benchmark,server,24,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,1.8345999997109175,1.8319999799132347,1.8220000201836228,1,True,
benchmark,server,25,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,95.85519996471703,95.7788999658078,94.40430020913482,100,True,
benchmark,server,23,q2_all_users,SELECT * FROM Users;,8224.992899922654,8224.5337999193,8201.582397334278,10000,True,
benchmark,server,27,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,2.39569996483624,2.3920999374240637,2.3793999571353197,1,True,
benchmark,server,28,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",2.817399916239083,2.81510001514107,2.805100055411458,1,True,
benchmark,server,29,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",9.46149998344481,9.458999964408576,9.428600082173944,4,True,
benchmark,server,30,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",8.222199976444244,8.219299954362214,8.190300082787871,3,True,
benchmark,server,26,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,332.10770005825907,331.64240000769496,326.94320019800216,50,True,
benchmark,server,21,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",15489.90279994905,15489.462899975479,15431.972694466822,10,True,
benchmark,server,33,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,0.8317999308928847,0.830099917948246,0.8238001028075814,1,True,
benchmark,server,20,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",22947.365900035948,22946.53409998864,22778.510301024653,20,True,
benchmark,server,35,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,1.9622999243438244,1.960099907591939,1.9499000627547503,1,True,
benchmark,server,36,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,84.97269998770207,84.90920008625835,83.56190018821508,100,True,
benchmark,server,34,q2_all_users,SELECT * FROM Users;,7704.189900076017,7703.770000021905,7681.0985000338405,10000,True,
benchmark,server,38,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,2.0337000023573637,2.0311999833211303,2.0166999893262982,2,True,
benchmark,server,39,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",2.2006999934092164,2.1986999781802297,2.1872998913750052,2,True,
benchmark,server,40,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",3.925299970433116,3.923299955204129,3.904700046405196,3,True,
benchmark,server,37,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,266.6253000497818,266.19100000243634,261.75559975672513,50,True,
benchmark,server,41,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",3.231600043363869,3.2293000258505344,3.2178000546991825,1,True,
benchmark,server,32,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",15217.750700074248,15217.276700073853,15163.343587541021,10,True,
benchmark,server,44,q1_user_by_id,SELECT * FROM Users WHERE idUser = ?;,0.9910999797284603,0.9890000801533461,0.9829000337049365,1,True,
benchmark,server,31,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",23156.914800056256,23155.9975000564,22989.454198279418,20,True,
benchmark,server,46,q3_user_by_login,SELECT * FROM Users WHERE Login = ?;,1.9035999430343509,1.9011000404134393,1.891300082206726,1,True,
benchmark,server,47,q4_sellers_rating,SELECT * FROM Sellers WHERE Rating >= 4 LIMIT 100;,75.73710009455681,75.66630002111197,74.41429991740733,100,True,
benchmark,server,45,q2_all_users,SELECT * FROM Users;,8113.840700010769,8113.388600060716,8089.753700653091,10000,True,
benchmark,server,49,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,1.1082000564783812,1.1063000420108438,1.0989999864250422,0,True,
benchmark,server,50,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",1.2866000179201365,1.284400001168251,1.2768999440595508,0,True,
benchmark,server,51,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",8.670700015500188,8.668199996463954,8.64390004426241,4,True,
benchmark,server,52,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",6.286300020292401,6.28349999897182,6.263599963858724,2,True,
benchmark,server,48,q5_orders_offset,SELECT * FROM Orders ORDER BY idOrder LIMIT 50 OFFSET 5000;,305.1944999024272,304.5116999419406,299.0485996706411,50,True,
benchmark,server,43,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",15876.003499957733,15875.536400009878,15817.66181893181,10,True,
benchmark,server,42,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",22615.976600092836,22615.129000041634,22452.469090698287,20,True,
benchmark,server,54,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",12918.341499986127,12917.920500040054,12870.686996146105,10,True,
benchmark,server,53,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",17865.44009996578,17864.937099977396,17720.35950771533,20,True,
