db,phase,metric_mode,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_metric_ms,avg_client_ms,avg_server_ms,avg_redis_exec_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,server,q10_top_sellers_qty,19.517234099912457,1,1,0,0.051236768226522705,18951.280200039037,18951.280200039037,18951.280200039037,18951.280200039037,18952.218000078574,18951.280200039037,18798.92969550565,20.0,20,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q11_top_categories,19.517234099912457,1,1,0,0.051236768226522705,13981.226000003517,13981.226000003517,13981.226000003517,13981.226000003517,13981.610699906014,13981.226000003517,13928.565807291307,10.0,10,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q1_user_by_id,19.517234099912457,1,1,0,0.051236768226522705,5.203100037761033,5.203100037761033,5.203100037761033,5.203100037761033,5.206099944189191,5.203100037761033,5.194000084884465,1.0,1,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q2_all_users,19.517234099912457,1,1,0,0.051236768226522705,7870.735400007106,7870.735400007106,7870.735400007106,7870.735400007106,7871.11329997424,7870.735400007106,7848.606596351601,10000.0,10000,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q3_user_by_login,19.517234099912457,1,1,0,0.051236768226522705,6.019399967044592,6.019399967044592,6.019399967044592,6.019399967044592,6.022899993695319,6.019399967044592,6.004299968481064,1.0,1,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q4_sellers_rating,19.517234099912457,1,1,0,0.051236768226522705,164.58520002197474,164.58520002197474,164.58520002197474,164.58520002197474,164.6461000200361,164.58520002197474,163.22000010404736,100.0,100,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q5_orders_offset,19.517234099912457,1,1,0,0.051236768226522705,390.45820001047105,390.45820001047105,390.45820001047105,390.45820001047105,391.0630999598652,390.45820001047105,386.03630021680146,50.0,50,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q6_products_by_seller,19.517234099912457,1,1,0,0.051236768226522705,5.129600060172379,5.129600060172379,5.129600060172379,5.129600060172379,5.132000078447163,5.129600060172379,5.118900095112622,1.0,1,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q7_products_join_sellers,19.517234099912457,1,1,0,0.051236768226522705,6.480999989435077,6.480999989435077,6.480999989435077,6.480999989435077,6.484100013040006,6.480999989435077,6.464499980211258,1.0,1,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q8_order_items_join_products,19.517234099912457,1,1,0,0.051236768226522705,3.112400067038834,3.112400067038834,3.112400067038834,3.112400067038834,3.1151999719440937,3.112400067038834,3.0965000623837113,1.0,1,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
redis,warmup,server,q9_orders_items_products_by_user,19.517234099912457,1,1,0,0.051236768226522705,13.473100028932095,13.473100028932095,13.473100028932095,13.473100028932095,13.476100051775575,13.473100028932095,13.42680025845766,4.0,4,12.3275,15.62,1.8125,1.82,2147483648.0,6000000.0,9560000.0,0.0,0.0
