db,phase,metric_mode,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_metric_ms,avg_client_ms,avg_server_ms,avg_redis_exec_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,server,q10_top_sellers_qty,19.44767000002321,1,1,0,0.05142004157818426,18130.283800070174,18130.283800070174,18130.283800070174,18130.283800070174,18131.613299949095,18130.283800070174,17981.265286449343,20.0,20,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q11_top_categories,19.44767000002321,1,1,0,0.05142004157818426,13121.92100007087,13121.92100007087,13121.92100007087,13121.92100007087,13122.29590001516,13121.92100007087,13073.884399724193,10.0,10,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q1_user_by_id,19.44767000002321,1,1,0,0.05142004157818426,4.095899988897145,4.095899988897145,4.095899988897145,4.095899988897145,4.098900011740625,4.095899988897145,4.085699911229312,1.0,1,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q2_all_users,19.44767000002321,1,1,0,0.05142004157818426,7170.520200044848,7170.520200044848,7170.520200044848,7170.520200044848,7170.922899967991,7170.520200044848,7149.485902045853,10000.0,10000,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q3_user_by_login,19.44767000002321,1,1,0,0.05142004157818426,10.51940000616014,10.51940000616014,10.51940000616014,10.51940000616014,10.521999909542501,10.51940000616014,10.506400023587048,1.0,1,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q4_sellers_rating,19.44767000002321,1,1,0,0.05142004157818426,115.1470000622794,115.1470000622794,115.1470000622794,115.1470000622794,115.20730005577207,115.1470000622794,113.7464006897062,100.0,100,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q5_orders_offset,19.44767000002321,1,1,0,0.05142004157818426,306.8770000245422,306.8770000245422,306.8770000245422,306.8770000245422,307.2721000062302,306.8770000245422,302.5035000173375,50.0,50,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q6_products_by_seller,19.44767000002321,1,1,0,0.05142004157818426,2.2920999908819795,2.2920999908819795,2.2920999908819795,2.2920999908819795,2.2942000068724155,2.2920999908819795,2.252400037832558,1.0,1,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q7_products_join_sellers,19.44767000002321,1,1,0,0.05142004157818426,3.9636000292375684,3.9636000292375684,3.9636000292375684,3.9636000292375684,3.9659999310970306,3.9636000292375684,3.9339999202638865,1.0,1,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q8_order_items_join_products,19.44767000002321,1,1,0,0.05142004157818426,4.330400028266013,4.330400028266013,4.330400028266013,4.330400028266013,4.3469000374898314,4.330400028266013,4.317000042647123,1.0,1,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,server,q9_orders_items_products_by_user,19.44767000002321,1,1,0,0.05142004157818426,11.277599958702922,11.277599958702922,11.277599958702922,11.277599958702922,11.280699982307851,11.277599958702922,11.244699941016734,4.0,4,11.465,14.98,1.8162500000000001,1.83,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,benchmark,server,q1_user_by_id,2.004936799989082,5,5,0,2.4938441950026693,4.6298999805003405,5.422200029715896,5.505400048568845,4.08801999874413,4.090200015343726,4.08801999874413,4.0711999870836735,1.0,5,0.31,0.31,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q2_all_users,12.747821800061502,5,5,0,0.39222386996152375,7562.318899901584,7641.065340000205,7642.584107997827,7113.74487997964,7114.1495999880135,7113.74487997964,7093.588880519383,10000.0,50000,17.294,22.52,1.814,1.83,2147483648.0,4000000.0,15200000.0,0.0,0.0
redis,benchmark,server,q3_user_by_login,1.914467200054787,5,5,0,2.611692694373094,3.2830999698489904,4.3135000159963965,4.3627800187096,3.205419983714819,3.207239997573197,3.205419983714819,3.197020012885332,1.0,5,0.43,0.43,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q4_sellers_rating,2.0082565000047907,5,5,0,2.4897218059486286,137.36969989258796,147.68919998314232,148.08775996323675,124.11681998055428,124.21973997261375,124.11681998055428,122.70896001718938,100.0,500,0.37,0.37,1.81,1.81,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q5_orders_offset,2.0081898000789806,5,5,0,2.489804499456851,297.6027000695467,303.52612007409334,304.6605840884149,282.380500016734,282.80539996922016,282.380500016734,278.0632799491286,50.0,250,0.29,0.29,1.8,1.8,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q6_products_by_seller,2.0201178999850526,5,5,0,2.4751030620722663,4.609800060279667,5.2353800274431705,5.269956029951572,3.9120000321418047,3.915300010703504,3.9120000321418047,3.9035999914631248,1.0,5,0.37,0.37,1.81,1.81,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q7_products_join_sellers,2.009099300019443,5,5,0,2.4886773888934273,7.097599911503494,7.220860011875629,7.230572011321783,6.0334800044074655,6.03902000002563,6.0334800044074655,6.022899993695319,1.0,5,0.35,0.35,1.81,1.81,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q8_order_items_join_products,2.011367699946277,5,5,0,2.4858706839796367,9.514400037005544,11.309379921294749,11.584995915181935,9.212059993296862,9.217140008695424,9.212059993296862,9.180039982311428,3.0,15,0.4,0.4,1.8,1.8,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q9_orders_items_products_by_user,2.011339099961333,5,5,0,2.48590603150713,10.861299932003021,18.382699973881245,18.878219984471798,12.08745997864753,12.090219999663532,12.08745997864753,12.04274003393948,2.0,10,0.32,0.32,1.8,1.8,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,server,q10_top_sellers_qty,36.03325579990633,5,5,0,0.13876070560387713,21226.303600007668,21340.341179980896,21347.053195978515,19980.81913997885,19981.56728001777,19980.81913997885,19834.62745945435,20.0,100,17.282857142857143,27.24,1.8264285714285715,1.89,2147483648.0,14800000.0,20300000.0,0.0,16995900.0
redis,benchmark,server,q11_top_categories,23.651158900000155,5,5,0,0.21140613113888332,14033.16990006715,14073.768260027282,14079.922292022966,13160.273799998686,13160.747499996796,13160.273799998686,13112.418874772266,10.0,50,17.283333333333335,22.68,1.8177777777777777,1.83,2147483648.0,10400000.0,11799999.999999993,0.0,0.0
