db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
mysql,load_data,__load_data__,8.546164299943484,0,0,0,0.0,nan,nan,nan,nan,0,20.5725,48.68,22.2825,22.87,2147483648.0,0.0,0.0,200000.00000000745,117600000.0
mysql,warmup,q10_top_sellers_qty,4.322415900067426,18,18,0,4.164337818514691,128.82124999305233,388.6023700411897,393.47239399678074,20.0,360,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q11_top_categories,4.322415900067426,18,18,0,4.164337818514691,8.664050023071468,72.2125450032763,77.55754893412814,10.0,180,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q1_user_by_id,4.322415900067426,19,19,0,4.395689919543285,3.8749000523239374,60.399830027017735,63.852445997763425,1.0,19,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q2_all_users,4.322415900067426,19,19,0,4.395689919543285,1388.23699997738,1679.399390029721,1713.0643579689786,10000.0,190000,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q3_user_by_login,4.322415900067426,18,18,0,4.164337818514691,7.8654499957337976,74.21186999999915,85.30797402490859,1.0,18,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q4_sellers_rating,4.322415900067426,18,18,0,4.164337818514691,18.790400004945695,23.19677995401434,26.233116037910797,100.0,1800,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q5_orders_offset,4.322415900067426,18,18,0,4.164337818514691,13.77845008391887,28.596250043483394,56.739410046720806,50.0,900,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q6_products_by_seller,4.322415900067426,18,18,0,4.164337818514691,3.4131999709643424,17.305300029693168,18.65985997370444,1.1666666666666667,21,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q7_products_join_sellers,4.322415900067426,18,18,0,4.164337818514691,2.9654999962076545,26.862180035095577,68.20699594682073,1.1666666666666667,21,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q8_order_items_join_products,4.322415900067426,18,18,0,4.164337818514691,2.436649927403778,25.488794979173615,61.55551899457341,2.7222222222222223,49,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,warmup,q9_orders_items_products_by_user,4.322415900067426,18,18,0,4.164337818514691,9.82450001174584,89.39236004371196,92.75999203789979,2.2777777777777777,41,26.39,51.81,23.36,23.36,2147483648.0,28000.0,6400000.0,0.0,0.0
mysql,benchmark,q10_top_sellers_qty,193.66012220003176,1000,1000,0,5.163685681077382,64.44874999579042,102.26850996841675,144.29508704692125,20.0,20000,46.26266666666666,69.57,23.541066666666666,23.56,2147483648.0,6743000.0,1594600000.0,99999.99999999255,4000000.0
mysql,benchmark,q11_top_categories,193.66012220003176,1000,1000,0,5.163685681077382,7.013999973423779,13.787885074270887,17.360466959653408,10.0,10000,46.26266666666666,69.57,23.541066666666666,23.56,2147483648.0,6743000.0,1594600000.0,99999.99999999255,4000000.0
mysql,benchmark,q1_user_by_id,193.66012220003176,1000,1000,0,5.163685681077382,3.1587000121362507,7.236925064353262,12.778441963018848,1.0,1000,46.26266666666666,69.57,23.541066666666666,23.56,2147483648.0,6743000.0,1594600000.0,99999.99999999255,4000000.0
mysql,benchmark,q2_all_users,193.66012220003176,1000,1000,0,5.163685681077382,1766.4593000081368,1976.6077549720649,2126.195749019971,10000.0,10000000,46.26266666666666,69.57,23.541066666666666,23.56,2147483648.0,6743000.0,1594600000.0,99999.99999999255,4000000.0
