phase,metric_mode,request_index,query_name,sql,client_time_ms,server_time_ms,redis_exec_ms,rows_returned,ok,error
benchmark,redis.exec,4,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,0.9855000535026193,0.9828000329434872,0.9760999819263816,0,True,
benchmark,redis.exec,1,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,5.696100066415966,5.693500046618283,5.683599971234798,1,True,
benchmark,redis.exec,2,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,6.467900006100535,6.465399987064302,6.458300049416721,1,True,
benchmark,redis.exec,3,q6_products_by_seller,SELECT * FROM Products WHERE Seller_id = ?;,6.32029992993921,6.317599909380078,6.305500166490674,2,True,
benchmark,redis.exec,0,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",7.15319998562336,7.149900076910853,7.132399943657219,1,True,
benchmark,redis.exec,1,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",8.680000086314976,8.677100064232945,8.665599976666272,1,True,
benchmark,redis.exec,3,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",7.18999991659075,7.187400013208389,7.1573000168427825,2,True,
benchmark,redis.exec,2,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",5.779200000688434,5.776099977083504,5.764800007455051,1,True,
benchmark,redis.exec,4,q7_products_join_sellers,"SELECT p.*, s.Name FROM Products p JOIN Sellers s ON s.idSeller = p.Seller_id WHERE s.idSeller = ?;",1.3553999597206712,1.3534999452531338,1.3444998767226934,0,True,
benchmark,redis.exec,0,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",12.43939995765686,12.436699937097728,12.418900150805712,1,True,
benchmark,redis.exec,1,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",14.764999970793724,14.761699945665896,14.728999929502606,3,True,
benchmark,redis.exec,4,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",13.417900074273348,13.415000052191317,13.378799776546657,4,True,
benchmark,redis.exec,3,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",13.88829993084073,13.885200023651123,13.858199934475124,3,True,
benchmark,redis.exec,2,q8_order_items_join_products,"SELECT oi.Product_id, oi.Quantity, p.Title, p.Price FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id WHERE oi.Order_id = ?;",20.142799941822886,20.139799918979406,20.09939996059984,4,True,
benchmark,redis.exec,1,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",7.622199947945774,7.616900024004281,7.607700070366263,0,True,
benchmark,redis.exec,3,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",13.475399930030107,13.47220002207905,13.453700114041567,1,True,
benchmark,redis.exec,4,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",11.293699964880943,11.290299938991666,11.263999971561134,2,True,
benchmark,redis.exec,2,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",22.171800024807453,22.168099996633828,22.13339984882623,3,True,
benchmark,redis.exec,0,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",24.981800001114607,24.978100089356303,24.930599960498512,4,True,
benchmark,redis.exec,2,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",25364.53630006872,25363.689200021327,25202.63499196153,20,True,
benchmark,redis.exec,1,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",25399.25849996507,25398.18020001985,25237.058902624995,20,True,
benchmark,redis.exec,3,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",25551.20630003512,25549.953200039454,25386.85749983415,20,True,
benchmark,redis.exec,0,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",25567.82050000038,25566.733799991198,25405.64730146434,20,True,
benchmark,redis.exec,4,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",16495.432500028983,16494.72539999988,16332.756012794562,20,True,
benchmark,redis.exec,0,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14618.641800014302,14618.143200059421,14564.074311056174,10,True,
benchmark,redis.exec,1,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14633.02360009402,14632.516500074416,14580.974493641406,10,True,
benchmark,redis.exec,3,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14751.271800021641,14750.649699941278,14697.017503087409,10,True,
benchmark,redis.exec,2,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14796.87019996345,14796.279500005767,14742.841095663607,10,True,
benchmark,redis.exec,4,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",10275.091900024563,10274.661700008437,10227.539898245595,10,True,
