db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
mysql,load_data,__load_data__,8.225323399994522,0,0,0,0.0,nan,nan,nan,nan,0,19.87,34.18,21.857499999999998,22.45,2147483648.0,0.0,0.0,3000000.0,113300000.0
mysql,warmup,q10_top_sellers_qty,3.8626186000183225,18,18,0,4.6600510855290285,51.70339997857809,75.32266001799134,125.60893201385612,20.0,360,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q11_top_categories,3.8626186000183225,18,18,0,4.6600510855290285,3.9941499708220363,5.273949942784384,5.308629969367757,10.0,180,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q1_user_by_id,3.8626186000183225,19,19,0,4.918942812502864,1.1899000965058804,4.324750066734794,23.615350020118065,1.0,19,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q2_all_users,3.8626186000183225,19,19,0,4.918942812502864,86.8258000118658,96.0515900282189,101.91375799011439,10000.0,190000,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q3_user_by_login,3.8626186000183225,18,18,0,4.6600510855290285,2.7762000099755824,3.7894900189712635,4.3991780700162035,1.0,18,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q4_sellers_rating,3.8626186000183225,18,18,0,4.6600510855290285,1.9388999789953232,2.217140019638463,2.627588057657703,100.0,1800,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q5_orders_offset,3.8626186000183225,18,18,0,4.6600510855290285,3.565849969163537,3.900640015490353,3.908528075553477,50.0,900,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q6_products_by_seller,3.8626186000183225,18,18,0,4.6600510855290285,1.1093500070273876,1.3672750326804817,1.3812150596641004,1.1666666666666667,21,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q7_products_join_sellers,3.8626186000183225,18,18,0,4.6600510855290285,1.0635500075295568,1.2458000215701759,1.266200018581003,1.1666666666666667,21,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q8_order_items_join_products,3.8626186000183225,18,18,0,4.6600510855290285,0.9362000273540616,1.3244600035250182,1.577692031860351,2.7222222222222223,49,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,warmup,q9_orders_items_products_by_user,3.8626186000183225,18,18,0,4.6600510855290285,7.611049979459494,18.93058000714518,19.154436049284413,2.2777777777777777,41,32.285000000000004,49.88,22.435000000000002,22.44,2147483648.0,76900.0,17800000.0,0.0,8000000.0
mysql,benchmark,q10_top_sellers_qty,168.70669840008486,1000,1000,0,5.9274469210968626,52.03100002836436,59.235879936022684,65.7918099197559,20.0,20000,47.537727272727274,51.77,22.439999999999998,22.46,2147483648.0,7258000.0,1599500000.0,100000.0,5000000.0
mysql,benchmark,q11_top_categories,168.70669840008486,1000,1000,0,5.9274469210968626,3.9598500006832182,4.457704949891194,5.086185075342655,10.0,10000,47.537727272727274,51.77,22.439999999999998,22.46,2147483648.0,7258000.0,1599500000.0,100000.0,5000000.0
mysql,benchmark,q1_user_by_id,168.70669840008486,1000,1000,0,5.9274469210968626,1.1421500239521265,1.4172749652061607,1.6686518990900363,1.0,1000,47.537727272727274,51.77,22.439999999999998,22.46,2147483648.0,7258000.0,1599500000.0,100000.0,5000000.0
