db,phase,metric_mode,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_metric_ms,avg_client_ms,avg_server_ms,avg_redis_exec_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
redis,warmup,client,q10_top_sellers_qty,19.49371379998047,1,1,0,0.05129858836857459,18376.07230001595,18376.07230001595,18376.07230001595,18376.07230001595,18376.07230001595,18374.886500067078,18224.82229140587,20.0,20,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q11_top_categories,19.49371379998047,1,1,0,0.05129858836857459,13241.825300035998,13241.825300035998,13241.825300035998,13241.825300035998,13241.825300035998,13241.441300022416,13194.35510376934,10.0,10,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q1_user_by_id,19.49371379998047,1,1,0,0.05129858836857459,3.949000034481287,3.949000034481287,3.949000034481287,3.949000034481287,3.949000034481287,3.9461000123992562,3.9369999431073666,1.0,1,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q2_all_users,19.49371379998047,1,1,0,0.05129858836857459,7176.238999934867,7176.238999934867,7176.238999934867,7176.238999934867,7176.238999934867,7175.8591999532655,7155.617004376836,10000.0,10000,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q3_user_by_login,19.49371379998047,1,1,0,0.05129858836857459,4.513600026257336,4.513600026257336,4.513600026257336,4.513600026257336,4.513600026257336,4.511000006459653,4.49799990747124,1.0,1,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q4_sellers_rating,19.49371379998047,1,1,0,0.05129858836857459,119.2397999111563,119.2397999111563,119.2397999111563,119.2397999111563,119.2397999111563,119.17720001656562,117.87739908322692,100.0,100,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q5_orders_offset,19.49371379998047,1,1,0,0.05129858836857459,300.7970000617206,300.7970000617206,300.7970000617206,300.7970000617206,300.7970000617206,300.39119999855757,296.11750005278736,50.0,50,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q6_products_by_seller,19.49371379998047,1,1,0,0.05129858836857459,3.5692000528797507,3.5692000528797507,3.5692000528797507,3.5692000528797507,3.5692000528797507,3.567200037650764,3.555899951606989,1.0,1,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q7_products_join_sellers,19.49371379998047,1,1,0,0.05129858836857459,6.182300043292344,6.182300043292344,6.182300043292344,6.182300043292344,6.182300043292344,6.180000025779009,6.16769993212074,1.0,1,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q8_order_items_join_products,19.49371379998047,1,1,0,0.05129858836857459,3.2284000189974904,3.2284000189974904,3.2284000189974904,3.2284000189974904,3.2284000189974904,3.226200002245605,3.21339990478009,1.0,1,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,warmup,client,q9_orders_items_products_by_user,19.49371379998047,1,1,0,0.05129858836857459,9.589600027538836,9.589600027538836,9.589600027538836,9.589600027538836,9.589600027538836,9.586800006218255,9.552799980156124,4.0,4,11.56625,15.04,1.79875,1.8,2147483648.0,5950000.0,9460000.0,0.0,0.0
redis,benchmark,client,q1_user_by_id,2.0046073000412434,5,5,0,2.494254111464689,4.288700059987605,5.028419918380678,5.117683908902109,3.807379980571568,3.807379980571568,3.80538001190871,3.7945999763906,1.0,5,0.23,0.23,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q2_all_users,12.72289340000134,5,5,0,0.39299236760086925,7658.531299908645,7749.903179961257,7753.327515958808,7170.555039960891,7170.555039960891,7170.136739988811,7150.106921955012,10000.0,50000,16.68,21.3,1.798,1.81,2147483648.0,4010000.0,15200000.0,0.0,0.0
redis,benchmark,client,q3_user_by_login,1.871193900005892,5,5,0,2.672090797209341,6.135300034657121,7.0864599430933595,7.1350519405677915,5.626559955999255,5.626559955999255,5.624419986270368,5.616099992766976,1.0,5,0.43,0.43,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q4_sellers_rating,2.0069575998932123,5,5,0,2.4913331503695164,129.38389996998012,133.06143996305764,133.38476796634495,114.67949999496341,114.67949999496341,114.60061999969184,113.18207997828722,100.0,500,0.37,0.37,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q5_orders_offset,2.0116933999815956,5,5,0,2.485468213021797,319.28669998887926,323.9418999524787,324.1769399540499,297.65557998325676,297.65557998325676,297.19386000651866,292.843300011009,50.0,250,0.35,0.35,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q6_products_by_seller,2.013612699927762,5,5,0,2.4830991581347166,5.414200015366077,5.916279973462224,5.9636559803038836,4.631919995881617,4.631919995881617,4.6301600290462375,4.621879989281297,1.0,5,0.34,0.34,1.79,1.79,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q7_products_join_sellers,2.0091874999925494,5,5,0,2.4885681401156146,7.123199990019202,7.541739963926375,7.5460279593244195,6.40261999797076,6.40261999797076,6.400380004197359,6.378339952789247,1.0,5,0.35,0.35,1.8,1.8,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q8_order_items_join_products,2.014810499968007,5,5,0,2.4816229616032843,12.084600050002337,14.249039976857603,14.589807982556522,11.40068001113832,11.40068001113832,11.398439994081855,11.368859955109656,3.0,15,0.35,0.35,1.78,1.78,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q9_orders_items_products_by_user,2.024732399964705,5,5,0,2.4694621373605514,12.880800059065223,22.125820047222078,22.789164050482213,14.538560039363801,14.538560039363801,14.53424000646919,14.50756003614515,2.0,10,0.46,0.46,1.8,1.8,2147483648.0,0.0,0.0,0.0,0.0
redis,benchmark,client,q10_top_sellers_qty,35.92824589996599,5,5,0,0.13916627084777144,21286.029100068845,21397.60317998007,21417.398395985365,19985.174179985188,19985.174179985188,19984.395739994943,19838.685202319175,20.0,100,16.61857142857143,21.92,1.8035714285714286,1.82,2147483648.0,14800000.0,20300000.0,0.0,16995900.0
redis,benchmark,client,q11_top_categories,23.758824500022456,5,5,0,0.21044812212806546,14145.667100092396,14199.057720019482,14199.781544017605,13258.656040020287,13258.656040020287,13258.143680007197,13210.869423579425,10.0,50,17.721111111111114,22.17,1.798888888888889,1.81,2147483648.0,10400000.0,11799999.999999993,0.0,0.0
