db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,server_p50_ms,server_p95_ms,server_p99_ms,server_avg_ms,avg_rows_returned,total_rows_returned
mysql,warmup,q10_top_sellers_qty,1.7765463999239728,18,18,0,10.132017942661284,63.349999999999994,81.1,85.17999999999999,66.17222222222222,20.0,360
mysql,warmup,q11_top_categories,1.7765463999239728,18,18,0,10.132017942661284,3.6,5.541999999999998,6.276399999999998,3.9566666666666666,10.0,180
mysql,warmup,q1_user_by_id,1.7765463999239728,19,19,0,10.694907828364688,100.0,100.0,100.0,64.28571428571429,1.0,19
mysql,warmup,q2_all_users,1.7765463999239728,19,19,0,10.694907828364688,4.04,4.908999999999997,5.9098,4.23,10023.0,190437
mysql,warmup,q3_user_by_login,1.7765463999239728,18,18,0,10.132017942661284,100.0,100.0,100.0,62.5,1.0,18
mysql,warmup,q4_sellers_rating,1.7765463999239728,18,18,0,10.132017942661284,0.174,0.3004999999999999,0.36169999999999985,0.1915,100.0,1800
mysql,warmup,q5_orders_offset,1.7765463999239728,18,18,0,10.132017942661284,1.915,2.4444999999999997,2.4649,1.9977777777777779,50.0,900
mysql,warmup,q6_products_by_seller,1.7765463999239728,18,18,0,10.132017942661284,0.018000000000000002,0.027969999999999995,0.029193999999999994,0.017055555555555556,1.4444444444444444,26
mysql,warmup,q7_products_join_sellers,1.7765463999239728,18,18,0,10.132017942661284,0.010700000000000001,0.03804999999999999,0.04552999999999998,0.01345,1.4444444444444444,26
mysql,warmup,q8_order_items_join_products,1.7765463999239728,18,18,0,10.132017942661284,0.030199999999999998,0.04521499999999998,0.05752299999999997,0.032377777777777776,2.7222222222222223,49
mysql,warmup,q9_orders_items_products_by_user,1.7765463999239728,18,18,0,10.132017942661284,0.032549999999999996,0.07571999999999998,0.07898399999999998,0.03348888888888889,3.3333333333333335,60
mysql,benchmark,q10_top_sellers_qty,90.92012389993761,1000,1000,0,10.998665170106376,62.3,72.60999999999999,86.51699999999998,63.518800000000006,20.0,20000
mysql,benchmark,q11_top_categories,90.92012389993761,1000,1000,0,10.998665170106376,3.63,4.29,5.01,3.69929,10.0,10000
mysql,benchmark,q1_user_by_id,90.92012389993761,1000,1000,0,10.998665170106376,0.0,100.0,100.0,43.59610836298933,1.0,1000
mysql,benchmark,q2_all_users,90.92012389993761,1000,1000,0,10.998665170106376,4.05,4.64,5.4300999999999995,4.12616,10023.0,10023000
mysql,benchmark,q3_user_by_login,90.92012389993761,1000,1000,0,10.998665170106376,0.0,100.0,100.0,45.38846153846154,1.0,1000
mysql,benchmark,q4_sellers_rating,90.92012389993761,1000,1000,0,10.998665170106376,0.168,0.21004999999999993,0.27703999999999995,0.17518,100.0,100000
mysql,benchmark,q5_orders_offset,90.92012389993761,1000,1000,0,10.998665170106376,1.9,2.14,2.6603,1.93153,50.0,50000
mysql,benchmark,q6_products_by_seller,90.92012389993761,1000,1000,0,10.998665170106376,0.0147,0.02820999999999999,0.046301999999999996,0.0157166,1.378,1378
mysql,benchmark,q7_products_join_sellers,90.92012389993761,1000,1000,0,10.998665170106376,0.0089,0.0188,0.032930999999999974,0.009713800000000002,1.378,1378
mysql,benchmark,q8_order_items_join_products,90.92012389993761,1000,1000,0,10.998665170106376,0.02895,0.0507,0.06532499999999998,0.030386700000000003,3.029,3029
mysql,benchmark,q9_orders_items_products_by_user,90.92012389993761,1000,1000,0,10.998665170106376,0.03295,0.0753,0.10400999999999999,0.0336375,4.08,4080
